Section,Class,Subclass,Section_desc,Class_desc,Subclass_desc,labels_desc,words_num
A,A01,A01B,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"soil working in agriculture or forestry; parts, details, or accessories of agricultural machines or implements, in general (making or covering furrows or holes for sowing, planting, or manuring a01c5/00; soil working for engineering purposes e01, e02, e21; {measuring areas for agricultural purposes g01b})",human necessities agriculture forestry animal husbandry hunting trapping fishing soil working in agriculture or forestry parts details or accessories of agricultural machines or implements in general making or covering furrows or holes for sowing planting or manuring a01c5 00 soil working for engineering purposes e01 e02 e21 measuring areas for agricultural purposes g01b,53
A,A01,A01C,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"planting; sowing; fertilising (parts, details or accessories of agricultural machines or implements, in general a01b51/00 - a01b75/00)",human necessities agriculture forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details or accessories of agricultural machines or implements in general a01b51 00 a01b75 00,27
A,A01,A01D,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,harvesting; mowing,human necessities agriculture forestry animal husbandry hunting trapping fishing harvesting mowing,11
A,A01,A01F,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,processing of harvested produce; hay or straw presses; devices for storing agricultural or horticultural produce (devices for topping or skinning onions or flower bulbs a23n15/08),human necessities agriculture forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural or horticultural produce devices for topping or skinning onions or flower bulbs a23n15 08,35
A,A01,A01G,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"horticulture; cultivation of vegetables, flowers, rice, fruit, vines, hops or seaweed; forestry; watering (picking of fruits, vegetables, hops or the like a01d46/00; propagating unicellular algae c12n1/12)",human necessities agriculture forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed forestry watering picking of fruits vegetables hops or the like a01d46 00 propagating unicellular algae c12n1 12,37
A,A01,A01H,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,new plants or {non-transgenic} processes for obtaining them; plant reproduction by tissue culture techniques,human necessities agriculture forestry animal husbandry hunting trapping fishing new plants or non transgenic processes for obtaining them plant reproduction by tissue culture techniques,24
A,A01,A01J,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"manufacture of dairy products (for chemical matters, see subclass a23c)",human necessities agriculture forestry animal husbandry hunting trapping fishing manufacture of dairy products for chemical matters see subclass a23c,19
A,A01,A01K,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"animal husbandry; care of birds, fishes, insects; fishing; rearing or breeding animals, not otherwise provided for; new breeds of animals",human necessities agriculture forestry animal husbandry hunting trapping fishing animal husbandry care of birds fishes insects fishing rearing or breeding animals not otherwise provided for new breeds of animals,29
A,A01,A01L,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,shoeing of animals,human necessities agriculture forestry animal husbandry hunting trapping fishing shoeing of animals,12
A,A01,A01M,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"catching, trapping or scaring of animals (appliances for catching swarms or drone-catching a01k57/00; fishing a01k69/00 - {a01k99/00}; biocides, pest repellants or attractants a01n); apparatus for the destruction of noxious animals or noxious plants",human necessities agriculture forestry animal husbandry hunting trapping fishing catching trapping or scaring of animals appliances for catching swarms or drone catching a01k57 00 fishing a01k69 00 a01k99 00 biocides pest repellants or attractants a01n apparatus for the destruction of noxious animals or noxious plants,45
